Country_Name,Country_Code,Region,Year,Fertility_Rate,Happiness_Rank,Happiness_Score
Switzerland,CHE,Europe and Central Asia,2015,1.54,1.00,7.59
Iceland,ISL,Europe and Central Asia,2015,1.93,2.00,7.56
Denmark,DNK,Europe and Central Asia,2015,1.69,3.00,7.53
Norway,NOR,Europe and Central Asia,2015,1.75,4.00,7.52
Canada,CAN,North America,2015,1.60,5.00,7.43
Finland,FIN,Europe and Central Asia,2015,1.71,6.00,7.41
Netherlands,NLD,Europe and Central Asia,2015,1.71,7.00,7.38
Sweden,SWE,Europe and Central Asia,2015,1.88,8.00,7.36
New Zealand,NZL,East Asia and Pacific,2015,1.99,9.00,7.29
Australia,AUS,East Asia and Pacific,2015,1.83,10.00,7.28
Israel,ISR,Middle East and North Africa,2015,3.09,11.00,7.28
Costa Rica,CRI,Latin America and Caribbean,2015,1.80,12.00,7.23
Austria,AUT,Europe and Central Asia,2015,1.47,13.00,7.20
Mexico,MEX,Latin America and Caribbean,2015,2.21,14.00,7.19
United States,USA,North America,2015,1.84,15.00,7.12
Brazil,BRA,Latin America and Caribbean,2015,1.78,16.00,6.98
Luxembourg,LUX,Europe and Central Asia,2015,1.50,17.00,6.95
Ireland,IRL,Europe and Central Asia,2015,1.94,18.00,6.94
Belgium,BEL,Europe and Central Asia,2015,1.74,19.00,6.94
United Arab Emirates,ARE,Middle East and North Africa,2015,1.77,20.00,6.90
United Kingdom,GBR,Europe and Central Asia,2015,1.81,21.00,6.87
Oman,OMN,Middle East and North Africa,2015,2.71,22.00,6.85
"Venezuela, RB",VEN,Latin America and Caribbean,2015,2.34,23.00,6.81
Singapore,SGP,East Asia and Pacific,2015,1.24,24.00,6.80
Panama,PAN,Latin America and Caribbean,2015,2.42,25.00,6.79
Germany,DEU,Europe and Central Asia,2015,1.50,26.00,6.75
Chile,CHL,Latin America and Caribbean,2015,1.75,27.00,6.67
Qatar,QAT,Middle East and North Africa,2015,2.01,28.00,6.61
France,FRA,Europe and Central Asia,2015,2.01,29.00,6.58
Argentina,ARG,Latin America and Caribbean,2015,2.31,30.00,6.57
Czech Republic,CZE,Europe and Central Asia,2015,1.53,31.00,6.51
Uruguay,URY,Latin America and Caribbean,2015,2.01,32.00,6.49
Colombia,COL,Latin America and Caribbean,2015,1.88,33.00,6.48
Thailand,THA,East Asia and Pacific,2015,1.50,34.00,6.46
Saudi Arabia,SAU,Middle East and North Africa,2015,2.71,35.00,6.41
Spain,ESP,Europe and Central Asia,2015,1.32,36.00,6.33
Malta,MLT,Middle East and North Africa,2015,1.42,37.00,6.30
Kuwait,KWT,Middle East and North Africa,2015,2.07,39.00,6.30
Suriname,SUR,Latin America and Caribbean,2015,2.34,40.00,6.27
Trinidad and Tobago,TTO,Latin America and Caribbean,2015,1.77,41.00,6.17
El Salvador,SLV,Latin America and Caribbean,2015,1.91,42.00,6.13
Guatemala,GTM,Latin America and Caribbean,2015,3.16,43.00,6.12
Uzbekistan,UZB,Europe and Central Asia,2015,2.49,44.00,6.00
Slovak Republic,SVK,Europe and Central Asia,2015,1.37,45.00,6.00
Japan,JPN,East Asia and Pacific,2015,1.46,46.00,5.99
"Korea, Rep.",KOR,East Asia and Pacific,2015,1.24,47.00,5.98
Ecuador,ECU,Latin America and Caribbean,2015,2.51,48.00,5.98
Bahrain,BHR,Middle East and North Africa,2015,2.04,49.00,5.96
Italy,ITA,Europe and Central Asia,2015,1.37,50.00,5.95
Bolivia,BOL,Latin America and Caribbean,2015,2.92,51.00,5.89
Moldova,MDA,Europe and Central Asia,2015,1.25,52.00,5.89
Paraguay,PRY,Latin America and Caribbean,2015,2.51,53.00,5.88
Kazakhstan,KAZ,Europe and Central Asia,2015,2.73,54.00,5.86
Slovenia,SVN,Europe and Central Asia,2015,1.58,55.00,5.85
Lithuania,LTU,Europe and Central Asia,2015,1.63,56.00,5.83
Nicaragua,NIC,Latin America and Caribbean,2015,2.23,57.00,5.83
Peru,PER,Latin America and Caribbean,2015,2.43,58.00,5.82
Belarus,BLR,Europe and Central Asia,2015,1.72,59.00,5.81
Poland,POL,Europe and Central Asia,2015,1.32,60.00,5.79
Malaysia,MYS,East Asia and Pacific,2015,1.93,61.00,5.77
Croatia,HRV,Europe and Central Asia,2015,1.46,62.00,5.76
Libya,LBY,Middle East and North Africa,2015,2.43,63.00,5.75
Russian Federation,RUS,Europe and Central Asia,2015,1.75,64.00,5.72
Jamaica,JAM,Latin America and Caribbean,2015,2.03,65.00,5.71
Cyprus,CYP,Europe and Central Asia,2015,1.44,67.00,5.69
Algeria,DZA,Middle East and North Africa,2015,2.81,68.00,5.61
Kosovo,XKX,Europe and Central Asia,2015,2.09,69.00,5.59
Turkmenistan,TKM,Europe and Central Asia,2015,2.28,70.00,5.55
Mauritius,MUS,Sub-Saharan Africa,2015,1.36,71.00,5.48
"Hong Kong SAR, China",HKG,East Asia and Pacific,2015,1.20,72.00,5.47
Estonia,EST,Europe and Central Asia,2015,1.54,73.00,5.43
Indonesia,IDN,East Asia and Pacific,2015,2.44,74.00,5.40
Vietnam,VNM,East Asia and Pacific,2015,1.96,75.00,5.36
Turkey,TUR,Europe and Central Asia,2015,2.05,76.00,5.33
Kyrgyz Republic,KGZ,Europe and Central Asia,2015,3.20,77.00,5.29
Nigeria,NGA,Sub-Saharan Africa,2015,5.59,78.00,5.27
Bhutan,BTN,South Asia,2015,1.98,79.00,5.25
Azerbaijan,AZE,Europe and Central Asia,2015,1.97,80.00,5.21
Pakistan,PAK,South Asia,2015,3.55,81.00,5.19
Jordan,JOR,Middle East and North Africa,2015,3.37,82.00,5.19
Montenegro,MNE,Europe and Central Asia,2015,1.68,82.00,5.19
China,CHN,East Asia and Pacific,2015,1.57,84.00,5.14
Zambia,ZMB,Sub-Saharan Africa,2015,5.28,85.00,5.13
Romania,ROU,Europe and Central Asia,2015,1.52,86.00,5.12
Serbia,SRB,Europe and Central Asia,2015,1.46,87.00,5.12
Portugal,PRT,Europe and Central Asia,2015,1.23,88.00,5.10
Latvia,LVA,Europe and Central Asia,2015,1.64,89.00,5.10
Philippines,PHL,East Asia and Pacific,2015,2.94,90.00,5.07
Somalia,SOM,Sub-Saharan Africa,2015,6.36,91.00,5.06
Morocco,MAR,Middle East and North Africa,2015,2.49,92.00,5.01
"Macedonia, FYR",MKD,Europe and Central Asia,2015,1.54,93.00,5.01
Mozambique,MOZ,Sub-Saharan Africa,2015,5.30,94.00,4.97
Albania,ALB,Europe and Central Asia,2015,1.79,95.00,4.96
Bosnia and Herzegovina,BIH,Europe and Central Asia,2015,1.25,96.00,4.95
Lesotho,LSO,Sub-Saharan Africa,2015,3.14,97.00,4.90
Dominican Republic,DOM,Latin America and Caribbean,2015,2.45,98.00,4.89
Mongolia,MNG,East Asia and Pacific,2015,2.64,100.00,4.87
Swaziland,SWZ,Sub-Saharan Africa,2015,3.20,101.00,4.87
Greece,GRC,Europe and Central Asia,2015,1.30,102.00,4.86
Lebanon,LBN,Middle East and North Africa,2015,1.72,103.00,4.84
Hungary,HUN,Europe and Central Asia,2015,1.44,104.00,4.80
Honduras,HND,Latin America and Caribbean,2015,2.33,105.00,4.79
Tajikistan,TJK,Europe and Central Asia,2015,3.45,106.00,4.79
Tunisia,TUN,Middle East and North Africa,2015,2.13,107.00,4.74
Bangladesh,BGD,South Asia,2015,2.14,109.00,4.69
"Iran, Islamic Rep.",IRN,Middle East and North Africa,2015,1.69,110.00,4.69
Ukraine,UKR,Europe and Central Asia,2015,1.51,111.00,4.68
Iraq,IRQ,Middle East and North Africa,2015,4.52,112.00,4.68
South Africa,ZAF,Sub-Saharan Africa,2015,2.34,113.00,4.64
Ghana,GHA,Sub-Saharan Africa,2015,4.12,114.00,4.63
Zimbabwe,ZWE,Sub-Saharan Africa,2015,3.86,115.00,4.61
Liberia,LBR,Sub-Saharan Africa,2015,4.65,116.00,4.57
India,IND,South Asia,2015,2.40,117.00,4.57
Sudan,SDN,Sub-Saharan Africa,2015,4.29,118.00,4.55
Haiti,HTI,Latin America and Caribbean,2015,2.97,119.00,4.52
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,2015,5.91,120.00,4.52
Nepal,NPL,South Asia,2015,2.17,121.00,4.51
Ethiopia,ETH,Sub-Saharan Africa,2015,4.28,122.00,4.51
Sierra Leone,SLE,Sub-Saharan Africa,2015,4.52,123.00,4.51
Mauritania,MRT,Sub-Saharan Africa,2015,4.54,124.00,4.44
Kenya,KEN,Sub-Saharan Africa,2015,4.26,125.00,4.42
Djibouti,DJI,Middle East and North Africa,2015,3.13,126.00,4.37
Armenia,ARM,Europe and Central Asia,2015,1.52,127.00,4.35
Botswana,BWA,Sub-Saharan Africa,2015,2.80,128.00,4.33
Myanmar,MMR,East Asia and Pacific,2015,2.18,129.00,4.31
Georgia,GEO,Europe and Central Asia,2015,1.82,130.00,4.30
Malawi,MWI,Sub-Saharan Africa,2015,5.05,131.00,4.29
Sri Lanka,LKA,South Asia,2015,2.06,132.00,4.27
Cameroon,CMR,Sub-Saharan Africa,2015,4.63,133.00,4.25
Bulgaria,BGR,Europe and Central Asia,2015,1.53,134.00,4.22
"Egypt, Arab Rep.",EGY,Middle East and North Africa,2015,3.31,135.00,4.19
"Yemen, Rep.",YEM,Middle East and North Africa,2015,4.04,136.00,4.08
Angola,AGO,Sub-Saharan Africa,2015,6.00,137.00,4.03
Mali,MLI,Sub-Saharan Africa,2015,6.14,138.00,4.00
"Congo, Rep.",COG,Sub-Saharan Africa,2015,4.81,139.00,3.99
Comoros,COM,Sub-Saharan Africa,2015,4.42,140.00,3.96
Uganda,UGA,Sub-Saharan Africa,2015,5.68,141.00,3.93
Senegal,SEN,Sub-Saharan Africa,2015,5.03,142.00,3.90
Gabon,GAB,Sub-Saharan Africa,2015,3.85,143.00,3.90
Niger,NER,Sub-Saharan Africa,2015,7.57,144.00,3.85
Cambodia,KHM,East Asia and Pacific,2015,2.60,145.00,3.82
Tanzania,TZA,Sub-Saharan Africa,2015,5.08,146.00,3.78
Madagascar,MDG,Sub-Saharan Africa,2015,4.35,147.00,3.68
Central African Republic,CAF,Sub-Saharan Africa,2015,4.21,148.00,3.68
Chad,TCD,Sub-Saharan Africa,2015,6.05,149.00,3.67
Guinea,GIN,Sub-Saharan Africa,2015,4.93,150.00,3.66
Cote d'Ivoire,CIV,Sub-Saharan Africa,2015,4.94,151.00,3.66
Burkina Faso,BFA,Sub-Saharan Africa,2015,5.44,152.00,3.59
Afghanistan,AFG,South Asia,2015,4.65,153.00,3.58
Rwanda,RWA,Sub-Saharan Africa,2015,3.80,154.00,3.47
Benin,BEN,Sub-Saharan Africa,2015,4.69,155.00,3.34
Syrian Arab Republic,SYR,Middle East and North Africa,2015,2.90,156.00,3.01
Burundi,BDI,Sub-Saharan Africa,2015,5.86,157.00,2.91
Togo,TGO,Sub-Saharan Africa,2015,4.51,158.00,2.84
