Religion,Year,Avg_Fertility_Rate
Animist religions,1960,6.421444444
Animist religions,1965,6.511769231
Animist religions,1970,6.492888889
Animist religions,1975,6.530545455
Animist religions,1980,6.409181818
Animist religions,1985,6.786714286
Animist religions,1990,6.526500000
Animist religions,1995,6.271666667
Animist religions,2000,5.702666667
Animist religions,2005,5.403000000
Animist religions,2010,5.091000000
Buddhism,1960,6.133400000
Buddhism,1965,6.013000000
Buddhism,1970,5.667200000
Buddhism,1975,5.365166667
Buddhism,1980,5.080500000
Buddhism,1985,4.865142857
Buddhism,1990,4.212857143
Buddhism,1995,3.514000000
Buddhism,2000,2.697888889
Buddhism,2005,2.403000000
Buddhism,2010,2.254000000
Christianity,1960,4.641877193
Christianity,1965,4.731666667
Christianity,1970,4.622301370
Christianity,1975,4.411437500
Christianity,1980,4.271289773
Christianity,1985,3.997449438
Christianity,1990,3.796619565
Christianity,1995,3.280857143
Christianity,2000,3.034754545
Christianity,2005,2.941469027
Christianity,2010,2.815231897
Hinduism,1960,5.932500000
Hinduism,1965,5.898500000
Hinduism,1970,5.152333333
Hinduism,1975,4.761666667
Hinduism,1980,4.408333333
Hinduism,1985,3.998000000
Hinduism,1990,3.845333333
Hinduism,1995,3.503666667
Hinduism,2000,3.110333333
Hinduism,2005,2.711666667
Hinduism,2010,2.266000000
Islam,1960,6.880318182
Islam,1965,6.903192308
Islam,1970,6.832806452
Islam,1975,6.662151515
Islam,1980,6.457812500
Islam,1985,6.064857143
Islam,1990,5.458578947
Islam,1995,4.685466667
Islam,2000,4.190977778
Islam,2005,3.870711111
Islam,2010,3.638466667
Judaism,1960,3.866000000
Judaism,1965,3.814000000
Judaism,1970,3.778000000
Judaism,1975,3.554000000
Judaism,1980,3.242000000
Judaism,1985,3.058000000
Judaism,1990,2.824000000
Judaism,1995,2.900000000
Judaism,2000,2.950000000
Judaism,2005,2.840000000
Judaism,2010,3.030000000
Non-religious,1960,5.273666667
Non-religious,1965,5.399333333
Non-religious,1970,5.341333333
Non-religious,1975,4.739500000
Non-religious,1980,3.183000000
Non-religious,1985,2.641250000
Non-religious,1990,2.360750000
Non-religious,1995,1.669000000
Non-religious,2000,1.325666667
Non-religious,2005,1.295333333
Non-religious,2010,1.485333333
Shinto,1960,2.001000000
Shinto,1965,2.139000000
Shinto,1970,2.135000000
Shinto,1975,1.909000000
Shinto,1980,1.750000000
Shinto,1985,1.760000000
Shinto,1990,1.540000000
Shinto,1995,1.422000000
Shinto,2000,1.359000000
Shinto,2005,1.260000000
Shinto,2010,1.390000000
Syncretic religions,1960,5.974000000
Syncretic religions,1965,5.522500000
Syncretic religions,1970,4.397500000
Syncretic religions,1975,2.070000000
Syncretic religions,1980,1.820000000
Syncretic religions,1985,1.610000000
Syncretic religions,1990,1.830000000
Syncretic religions,1995,1.677000000
Syncretic religions,2000,1.447000000
Syncretic religions,2005,1.513000000
Syncretic religions,2010,1.539000000
